user_id,churn_reason,recommended_shows
u001,poor_user_experience,"Sharable, Synergistic"
u006,poor_user_experience,"Sharable, Synergistic"
u008,bad_recommendation,"Sharable, Synergistic"
u009,low_engagement,"HighlevelDef, Ecocentric"
u012,poor_user_experience,"Sharable, Synergistic"
u013,poor_user_experience,"Sharable, Synergistic"
u014,bad_recommendation,"Sharable, Synergistic"
u015,bad_recommendation,"Reverseengineered, Crossgroup"
u020,poor_user_experience,"Sharable, Synergistic"
u024,low_engagement,"TotalGUI, Synchronized"
u025,bad_recommendation,"Reverseengineered, Universal"
u030,bad_recommendation,"Reverseengineered, Robust4thgen"
u031,bad_recommendation,"Reverseengineered, Universal"
u032,bad_recommendation,"Crossgroup, TotalGUI"
u034,bad_recommendation,"Sharable, Synergistic"
u035,bad_recommendation,"Sharable, Synergistic"
u036,bad_recommendation,"Reverseengineered, Universal"
u037,bad_recommendation,"Sharable, Fullyconfigurable"
u038,bad_recommendation,"Reverseengineered, Universal"
u039,bad_recommendation,"Crossgroup, Implemented"
u040,low_engagement,"TotalGUI, HolisticDesk"
u041,bad_recommendation,"Crossgroup, Robust4thgen"
u045,low_engagement,"TotalGUI, Synchronized"
u047,poor_user_experience,"Sharable, Synergistic"
u049,low_engagement,"TotalGUI, Synchronized"
u050,low_engagement,"TotalGUI, Synchronized"
u054,low_engagement,"Recontextualized, CoherentProduct"
u056,poor_user_experience,"Sharable, Synergistic"
u059,bad_recommendation,"Adaptive, BalancedKB"
u062,bad_recommendation,"Fullyconfigurable, Robust4thgen"
u063,poor_user_experience,"Sharable, Synergistic"
u065,poor_user_experience,"Sharable, Synergistic"
u067,genre_fatigue,"Fullyconfigurable, Reverseengineered"
u068,bad_recommendation,"Fullyconfigurable, Customerfocused"
u069,bad_recommendation,"Sharable, Fullyconfigurable"
u073,low_engagement,"HolisticDesk, Recontextualized"
u076,bad_recommendation,"Fullyconfigurable, Customerfocused"
u080,poor_user_experience,"Sharable, Synergistic"
u081,low_engagement,"TotalGUI, Synchronized"
u082,poor_user_experience,"Sharable, Synergistic"
u084,bad_recommendation,"Fullyconfigurable, Robust4thgen"
u086,bad_recommendation,"Sharable, Fullyconfigurable"
u089,poor_user_experience,"Sharable, Synergistic"
u090,low_engagement,"Ecocentric, Global"
u091,low_engagement,"Digitized, Digitized2"
u092,bad_recommendation,"Fullyconfigurable, Crossgroup"
u094,low_engagement,"Recontextualized, CoherentProduct"
u097,low_engagement,"Digitized, Ecocentric"
u098,bad_recommendation,"Reverseengineered, Robust4thgen"
